customer_id	address_type	address_line_1	city	state	postcode
7007	shipping	64918 Lee Ports Apt. 269	Jasonview	Maryland	18994
7007	billing	201 Danielle Hollow Apt. 665	Jerryport	South Dakota	12363
5953	shipping	1393 White Wells Suite 722	North Karen	Connecticut	47802
5953	billing	470 Casey Pines Suite 957	Deanmouth	Arkansas	96860
9605	shipping	4123 Solomon Oval Apt. 648	Mccormickside	Indiana	90659
9605	billing	67373 David Plains Suite 457	East Stevenfort	Nevada	84183
8845	shipping	95689 Jeffrey Expressway	East Lanceborough	Pennsylvania	79251
8845	billing	556 Christensen Pike	North Jeremyview	California	90786
4973	shipping	3013 Michelle Mountain Apt. 214	South Patrickburgh	Arizona	45875
4973	billing	748 John Curve	Fritzberg	Maryland	36128
6167	shipping	179 Vang Street	Jessicastad	Connecticut	40919
6167	billing	58676 Keith Coves	New Erichaven	Kentucky	25297
3295	shipping	9569 Dennis Way Suite 047	North Amy	New York	17867
3295	billing	36789 Hatfield Landing	Haydenton	Tennessee	60950
9150	shipping	819 Campbell Ville	South Ian	California	35549
9150	billing	48219 Kurt Hollow	South Ravenberg	Rhode Island	08078
